Freq.	V(a)-V(b)
8.03470626506430e+06	(-1.75103824084121e+01dB,-6.62200268323203e+00°)
8.05322817589126e+06	(-1.74679422770074e+01dB,-6.61152001370847e+00°)
8.07179278413234e+06	(-1.74254883006517e+01dB,-6.60107442774696e+00°)
8.09040018821524e+06	(-1.73830204155951e+01dB,-6.59066589719716e+00°)
8.10905048679456e+06	(-1.73405385576769e+01dB,-6.58029439425554e+00°)
8.12774377875233e+06	(-1.72980426623234e+01dB,-6.56995989146671e+00°)
8.14648016319852e+06	(-1.72555326645448e+01dB,-6.55966236172553e+00°)
8.16525973947158e+06	(-1.72130084989330e+01dB,-6.54940177827905e+00°)
8.18408260713895e+06	(-1.71704700996586e+01dB,-6.53917811472811e+00°)
8.20294886599760e+06	(-1.71279174004686e+01dB,-6.52899134502922e+00°)
8.22185861607456e+06	(-1.70853503346834e+01dB,-6.51884144349689e+00°)
8.24081195762745e+06	(-1.70427688351940e+01dB,-6.50872838480500e+00°)
8.25980899114498e+06	(-1.70001728344594e+01dB,-6.49865214398915e+00°)
8.27884981734754e+06	(-1.69575622645040e+01dB,-6.48861269644849e+00°)
8.29793453718771e+06	(-1.69149370569144e+01dB,-6.47861001794765e+00°)
8.31706325185075e+06	(-1.68722971428372e+01dB,-6.46864408461890e+00°)
8.33623606275521e+06	(-1.68296424529750e+01dB,-6.45871487296387e+00°)
8.35545307155344e+06	(-1.67869729175848e+01dB,-6.44882235985606e+00°)
8.37471438013209e+06	(-1.67442884664746e+01dB,-6.43896652254263e+00°)
8.39402009061270e+06	(-1.67015890290000e+01dB,-6.42914733864630e+00°)
8.41337030535224e+06	(-1.66588745340622e+01dB,-6.41936478616798e+00°)
8.43276512694361e+06	(-1.66161449101040e+01dB,-6.40961884348843e+00°)
8.45220465821622e+06	(-1.65734000851077e+01dB,-6.39990948937073e+00°)
8.47168900223654e+06	(-1.65306399865915e+01dB,-6.39023670296234e+00°)
8.49121826230862e+06	(-1.64878645416067e+01dB,-6.38060046379712e+00°)
8.51079254197465e+06	(-1.64450736767344e+01dB,-6.37100075179806e+00°)
8.53041194501551e+06	(-1.64022673180826e+01dB,-6.36143754727900e+00°)
8.55007657545133e+06	(-1.63594453912830e+01dB,-6.35191083094715e+00°)
8.56978653754202e+06	(-1.63166078214879e+01dB,-6.34242058390549e+00°)
8.58954193578783e+06	(-1.62737545333669e+01dB,-6.33296678765479e+00°)
8.60934287492993e+06	(-1.62308854511036e+01dB,-6.32354942409638e+00°)
8.62918945995091e+06	(-1.61880004983926e+01dB,-6.31416847553415e+00°)
8.64908179607540e+06	(-1.61450995984361e+01dB,-6.30482392467708e+00°)
8.66901998877058e+06	(-1.61021826739403e+01dB,-6.29551575464172e+00°)
8.68900414374677e+06	(-1.60592496471129e+01dB,-6.28624394895475e+00°)
8.70903436695796e+06	(-1.60163004396587e+01dB,-6.27700849155505e+00°)
8.72911076460241e+06	(-1.59733349727769e+01dB,-6.26780936679661e+00°)
8.74923344312317e+06	(-1.59303531671573e+01dB,-6.25864655945094e+00°)
8.76940250920869e+06	(-1.58873549429773e+01dB,-6.24952005470971e+00°)
8.78961806979335e+06	(-1.58443402198979e+01dB,-6.24042983818714e+00°)
8.80988023205803e+06	(-1.58013089170604e+01dB,-6.23137589592268e+00°)
8.83018910343071e+06	(-1.57582609530829e+01dB,-6.22235821438392e+00°)
8.85054479158699e+06	(-1.57151962460567e+01dB,-6.21337678046879e+00°)
8.87094740445071e+06	(-1.56721147135426e+01dB,-6.20443158150874e+00°)
8.89139705019450e+06	(-1.56290162725674e+01dB,-6.19552260527126e+00°)
8.91189383724033e+06	(-1.55859008396200e+01dB,-6.18664983996249e+00°)
8.93243787426013e+06	(-1.55427683306480e+01dB,-6.17781327423038e+00°)
8.95302927017635e+06	(-1.54996186610536e+01dB,-6.16901289716720e+00°)
8.97366813416251e+06	(-1.54564517456900e+01dB,-6.16024869831248e+00°)
8.99435457564382e+06	(-1.54132674988576e+01dB,-6.15152066765612e+00°)
9.01508870429772e+06	(-1.53700658343004e+01dB,-6.14282879564093e+00°)
9.03587063005451e+06	(-1.53268466652014e+01dB,-6.13417307316604e+00°)
9.05670046309789e+06	(-1.52836099041793e+01dB,-6.12555349158938e+00°)
9.07757831386555e+06	(-1.52403554632845e+01dB,-6.11697004273107e+00°)
9.09850429304979e+06	(-1.51970832539949e+01dB,-6.10842271887641e+00°)
9.11947851159806e+06	(-1.51537931872119e+01dB,-6.09991151277885e+00°)
9.14050108071359e+06	(-1.51104851732563e+01dB,-6.09143641766324e+00°)
9.16157211185593e+06	(-1.50671591218646e+01dB,-6.08299742722905e+00°)
9.18269171674160e+06	(-1.50238149421842e+01dB,-6.07459453565318e+00°)
9.20386000734465e+06	(-1.49804525427697e+01dB,-6.06622773759379e+00°)
9.22507709589724e+06	(-1.49370718315787e+01dB,-6.05789702819312e+00°)
9.24634309489026e+06	(-1.48936727159671e+01dB,-6.04960240308086e+00°)
9.26765811707392e+06	(-1.48502551026853e+01dB,-6.04134385837770e+00°)
9.28902227545836e+06	(-1.48068188978735e+01dB,-6.03312139069849e+00°)
9.31043568331420e+06	(-1.47633640070578e+01dB,-6.02493499715594e+00°)
9.33189845417321e+06	(-1.47198903351450e+01dB,-6.01678467536359e+00°)
9.35341070182887e+06	(-1.46763977864191e+01dB,-6.00867042343986e+00°)
9.37497254033696e+06	(-1.46328862645359e+01dB,-6.00059224001127e+00°)
9.39658408401621e+06	(-1.45893556725193e+01dB,-5.99255012421607e+00°)
9.41824544744886e+06	(-1.45458059127558e+01dB,-5.98454407570800e+00°)
9.43995674548133e+06	(-1.45022368869907e+01dB,-5.97657409465974e+00°)
9.46171809322474e+06	(-1.44586484963230e+01dB,-5.96864018176672e+00°)
9.48352960605559e+06	(-1.44150406412008e+01dB,-5.96074233825098e+00°)
9.50539139961636e+06	(-1.43714132214166e+01dB,-5.95288056586483e+00°)
9.52730358981609e+06	(-1.43277661361021e+01dB,-5.94505486689462e+00°)
